conc;brood1;brood2;brood3;total
0;3;14;10;27
0;5;12;15;32
0;6;11;17;34
0;6;12;15;33
0;6;15;15;36
0;5;14;15;34
0;6;12;15;33
0;5;13;12;30
0;3;10;11;24
0;6;11;14;31
80;6;11;16;33
80;5;12;16;33
80;6;11;18;35
80;5;12;16;33
80;8;13;15;36
80;3;9;14;26
80;5;9;13;27
80;7;12;12;31
80;5;13;14;32
80;3;12;14;29
160;6;12;11;29
160;6;12;11;29
160;2;8;13;23
160;6;10;11;27
160;6;11;13;30
160;6;13;12;31
160;6;12;12;30
160;5;10;11;26
160;6;13;10;29
160;6;12;11;29
235;4;13;6;23
235;6;10;5;21
235;2;5;0;7
235;6;0;6;12
235;6;13;8;27
235;6;0;10;16
235;7;0;6;13
235;4;2;9;15
235;6;8;7;21
235;7;0;10;17
310;6;0;0;6
310;6;0;0;6
310;7;0;0;7
310;0;0;0;0
310;5;10;0;15
310;5;0;0;5
310;6;0;0;6
310;4;0;0;4
310;6;0;0;6
310;5;0;0;5
